kappa_1,kappa_2,law,n,rho,rho_sig,mean_orbit_error,mean_signal_correlation_error
1,4,rademacher,750,0.6,0.29387354926716147,0.03822244356179551,0.008877604340939978
1,4,rademacher,750,0.9,0.6612154858511136,0.04967441792012981,0.0129822115887177
1,4,rademacher,1000,0.25,0.05101971341443777,0.026472484261365514,0.003644669963677886
1,4,rademacher,1000,0.6,0.29387354926716147,0.03365240079703212,0.00776514404338345
1,4,rademacher,1000,0.9,0.6612154858511136,0.04337391225151843,0.010315432043625476
4,4,gaussian,250,0.25,0.05101971341443777,0.0804499415378988,0.010752372346774132
4,4,gaussian,250,0.6,0.29387354926716147,0.10376080082929548,0.023509500533520473
4,4,gaussian,250,0.9,0.6612154858511136,0.12304966617222131,0.03700029640661659
4,4,gaussian,500,0.25,0.05101971341443777,0.05485160389266883,0.006935453072848639
4,4,gaussian,500,0.6,0.29387354926716147,0.0699867365430262,0.014750956876899052
4,4,gaussian,500,0.9,0.6612154858511136,0.09014807063816288,0.022571400561361712
4,4,gaussian,750,0.25,0.05101971341443777,0.04346856467464568,0.005418304870976875
4,4,gaussian,750,0.6,0.29387354926716147,0.05951397142322396,0.01283028496689709
4,4,gaussian,750,0.9,0.6612154858511136,0.07181039388577488,0.016762511139774252
4,4,gaussian,1000,0.25,0.05101971341443777,0.037224601345987776,0.0051957028376525575
4,4,gaussian,1000,0.6,0.29387354926716147,0.04775619552382277,0.011386211246805127
4,4,gaussian,1000,0.9,0.6612154858511136,0.061656663425159186,0.014471473456163949
4,4,rademacher,250,0.25,0.05101971341443777,0.07782491266184613,0.010138842374757628
4,4,rademacher,250,0.6,0.29387354926716147,0.10502777953377833,0.024654179503591302
4,4,rademacher,250,0.9,0.6612154858511136,0.12957574443849354,0.03942920159226714
4,4,rademacher,500,0.25,0.05101971341443777,0.05545647728559874,0.007240785335666006
4,4,rademacher,500,0.6,0.29387354926716147,0.0717049193543544,0.015461952375695275
4,4,rademacher,500,0.9,0.6612154858511136,0.09121834833106925,0.023558414822460502
4,4,rademacher,750,0.25,0.05101971341443777,0.04341545063840339,0.006077129703679424
4,4,rademacher,750,0.6,0.29387354926716147,0.05679091748352442,0.01172158727166098
4,4,rademacher,750,0.9,0.6612154858511136,0.07342257516808341,0.017611199177528312
4,4,rademacher,1000,0.25,0.05101971341443777,0.03804817130260693,0.004985845189822
4,4,rademacher,1000,0.6,0.29387354926716147,0.046996142596642476,0.011137023115662592
4,4,rademacher,1000,0.9,0.6612154858511136,0.062721538182998,0.014284878379588455
