n,kappa,law,gamma,strength,replication,method,estimate
1000,1,gaussian,1.5,2.1213203435596393,21,BGS25,2.104840172963703
1000,1,gaussian,1.5,2.1213203435596393,21,BGN11,2.1047387513198754
1000,1,gaussian,1.5,2.1213203435596393,22,Algorithm 1,2.194358720274042
1000,1,gaussian,1.5,2.1213203435596393,22,BGS25,2.157703381106276
1000,1,gaussian,1.5,2.1213203435596393,22,BGN11,2.1581742950853955
1000,1,gaussian,1.5,2.1213203435596393,23,Algorithm 1,2.1638947095004264
1000,1,gaussian,1.5,2.1213203435596393,23,BGS25,2.118931648251114
1000,1,gaussian,1.5,2.1213203435596393,23,BGN11,2.122600123358227
1000,1,gaussian,1.5,2.1213203435596393,24,Algorithm 1,2.144843556485916
1000,1,gaussian,1.5,2.1213203435596393,24,BGS25,2.1399130619245743
1000,1,gaussian,1.5,2.1213203435596393,24,BGN11,2.141586240894053
1000,1,gaussian,1.5,2.1213203435596393,25,Algorithm 1,2.1034226582883373
1000,1,gaussian,1.5,2.1213203435596393,25,BGS25,2.042371957015364
1000,1,gaussian,1.5,2.1213203435596393,25,BGN11,2.043520290062827
1000,1,gaussian,1.5,2.1213203435596393,26,Algorithm 1,2.096320677473079
1000,1,gaussian,1.5,2.1213203435596393,26,BGS25,2.0987459241520474
1000,1,gaussian,1.5,2.1213203435596393,26,BGN11,2.096743617810731
1000,1,gaussian,1.5,2.1213203435596393,27,Algorithm 1,2.0859011468158366
1000,1,gaussian,1.5,2.1213203435596393,27,BGS25,2.1006006333455827
1000,1,gaussian,1.5,2.1213203435596393,27,BGN11,2.1030054709392623
1000,1,gaussian,1.5,2.1213203435596393,28,Algorithm 1,2.172215149238076
1000,1,gaussian,1.5,2.1213203435596393,28,BGS25,2.1852254982875987
1000,1,gaussian,1.5,2.1213203435596393,28,BGN11,2.1876920370172632
1000,1,gaussian,1.5,2.1213203435596393,29,Algorithm 1,2.034523688630629
1000,1,gaussian,1.5,2.1213203435596393,29,BGS25,2.069200240156405
1000,1,gaussian,1.5,2.1213203435596393,29,BGN11,2.0703976920010794
1000,1,gaussian,1.5,2.1213203435596393,30,Algorithm 1,2.074078815472186
1000,1,gaussian,1.5,2.1213203435596393,30,BGS25,2.1016687723058856
1000,1,gaussian,1.5,2.1213203435596393,30,BGN11,2.1005925481245598
1000,1,gaussian,1.5,2.1213203435596393,31,Algorithm 1,2.170312472894305
1000,1,gaussian,1.5,2.1213203435596393,31,BGS25,2.1843765331223386
1000,1,gaussian,1.5,2.1213203435596393,31,BGN11,2.18612314021387
1000,1,gaussian,1.5,2.1213203435596393,32,Algorithm 1,2.1660581345387415
1000,1,gaussian,1.5,2.1213203435596393,32,BGS25,2.166381365743584
1000,1,gaussian,1.5,2.1213203435596393,32,BGN11,2.1658636963259683
1000,1,gaussian,1.5,2.1213203435596393,33,Algorithm 1,2.1745497588273164
1000,1,gaussian,1.5,2.1213203435596393,33,BGS25,2.1864245192542135
1000,1,gaussian,1.5,2.1213203435596393,33,BGN11,2.188341502590926
1000,1,gaussian,1.5,2.1213203435596393,34,Algorithm 1,2.1526111315904113
1000,1,gaussian,1.5,2.1213203435596393,34,BGS25,2.124649783906632
1000,1,gaussian,1.5,2.1213203435596393,34,BGN11,2.131872438361996
1000,1,gaussian,1.5,2.1213203435596393,35,Algorithm 1,2.0429081575160017
1000,1,gaussian,1.5,2.1213203435596393,35,BGS25,2.0550321274011614
1000,1,gaussian,1.5,2.1213203435596393,35,BGN11,2.0590945655643615
1000,1,gaussian,1.5,2.1213203435596393,36,Algorithm 1,2.0565210864019443
1000,1,gaussian,1.5,2.1213203435596393,36,BGS25,2.1164159523221557
1000,1,gaussian,1.5,2.1213203435596393,36,BGN11,2.123712983594686
1000,1,gaussian,1.5,2.1213203435596393,37,Algorithm 1,2.04010584015883
1000,1,gaussian,1.5,2.1213203435596393,37,BGS25,2.0504621724708976
1000,1,gaussian,1.5,2.1213203435596393,37,BGN11,2.0511737574726903
1000,1,gaussian,1.5,2.1213203435596393,38,Algorithm 1,2.088700885307772
1000,1,gaussian,1.5,2.1213203435596393,38,BGS25,2.1039456639793332
1000,1,gaussian,1.5,2.1213203435596393,38,BGN11,2.1000859898056174
1000,1,gaussian,1.5,2.1213203435596393,39,Algorithm 1,2.2196596279040945
1000,1,gaussian,1.5,2.1213203435596393,39,BGS25,2.202353745384845
1000,1,gaussian,1.5,2.1213203435596393,39,BGN11,2.2037653308197247
1000,1,gaussian,1.5,2.1213203435596393,40,Algorithm 1,2.0506337884935117
1000,1,gaussian,1.5,2.1213203435596393,40,BGS25,2.0939126132973085
1000,1,gaussian,1.5,2.1213203435596393,40,BGN11,2.097145376882174
1000,1,gaussian,1.5,2.1213203435596393,41,Algorithm 1,2.118211516575339
1000,1,gaussian,1.5,2.1213203435596393,41,BGS25,2.0870661488297597
1000,1,gaussian,1.5,2.1213203435596393,41,BGN11,2.088353927641176
1000,1,gaussian,1.5,2.1213203435596393,42,Algorithm 1,2.0417107045844514
1000,1,gaussian,1.5,2.1213203435596393,42,BGS25,2.0663495534591285
1000,1,gaussian,1.5,2.1213203435596393,42,BGN11,2.0687706281493035
1000,1,gaussian,1.5,2.1213203435596393,43,Algorithm 1,2.168120648016506
1000,1,gaussian,1.5,2.1213203435596393,43,BGS25,2.1903654499649443
1000,1,gaussian,1.5,2.1213203435596393,43,BGN11,2.1934013856547585
1000,1,gaussian,1.5,2.1213203435596393,44,Algorithm 1,2.2113049747024474
1000,1,gaussian,1.5,2.1213203435596393,44,BGS25,2.198233568568863
1000,1,gaussian,1.5,2.1213203435596393,44,BGN11,2.199455210255333
