n,p,kappa,law,gamma,strength,replication,method,estimate
1000,600,1,gaussian,1.5,1.8669989318654328,37,OptShrink,1.8304166514545548
1000,600,1,gaussian,1.5,1.8669989318654328,38,Algorithm 3,1.8261086672419677
1000,600,1,gaussian,1.5,1.8669989318654328,38,SN13,1.8290948721716835
1000,600,1,gaussian,1.5,1.8669989318654328,38,OptShrink,1.833297483956867
1000,600,1,gaussian,1.5,1.8669989318654328,39,Algorithm 3,1.938577209840247
1000,600,1,gaussian,1.5,1.8669989318654328,39,SN13,1.90804286157407
1000,600,1,gaussian,1.5,1.8669989318654328,39,OptShrink,1.911422647795309
1000,600,1,gaussian,1.5,1.8669989318654328,40,Algorithm 3,1.846455903125649
1000,600,1,gaussian,1.5,1.8669989318654328,40,SN13,1.8661411881018426
1000,600,1,gaussian,1.5,1.8669989318654328,40,OptShrink,1.8704378452437398
1000,600,1,gaussian,1.5,1.8669989318654328,41,Algorithm 3,1.8666252918854016
1000,600,1,gaussian,1.5,1.8669989318654328,41,SN13,1.865253605366819
1000,600,1,gaussian,1.5,1.8669989318654328,41,OptShrink,1.8693988924879983
1000,600,1,gaussian,1.5,1.8669989318654328,42,Algorithm 3,1.8807065299018189
1000,600,1,gaussian,1.5,1.8669989318654328,42,SN13,1.8809934278343379
1000,600,1,gaussian,1.5,1.8669989318654328,42,OptShrink,1.8855781679352956
1000,600,1,gaussian,1.5,1.8669989318654328,43,Algorithm 3,1.858490930488008
1000,600,1,gaussian,1.5,1.8669989318654328,43,SN13,1.8714528400674957
1000,600,1,gaussian,1.5,1.8669989318654328,43,OptShrink,1.8752901987497312
1000,600,1,gaussian,1.5,1.8669989318654328,44,Algorithm 3,1.847264795392722
1000,600,1,gaussian,1.5,1.8669989318654328,44,SN13,1.8653963439314267
1000,600,1,gaussian,1.5,1.8669989318654328,44,OptShrink,1.8693006680562945
1000,600,1,gaussian,1.5,1.8669989318654328,45,Algorithm 3,1.905364424272775
1000,600,1,gaussian,1.5,1.8669989318654328,45,SN13,1.8550449123422361
1000,600,1,gaussian,1.5,1.8669989318654328,45,OptShrink,1.8588992153933552
1000,600,1,gaussian,1.5,1.8669989318654328,46,Algorithm 3,1.8441234829336415
1000,600,1,gaussian,1.5,1.8669989318654328,46,SN13,1.8459144396698028
1000,600,1,gaussian,1.5,1.8669989318654328,46,OptShrink,1.8500085437291884
1000,600,1,gaussian,1.5,1.8669989318654328,47,Algorithm 3,1.8495134750388698
1000,600,1,gaussian,1.5,1.8669989318654328,47,SN13,1.8847002354071827
1000,600,1,gaussian,1.5,1.8669989318654328,47,OptShrink,1.8883366401054733
1000,600,1,gaussian,1.5,1.8669989318654328,48,Algorithm 3,1.8689870358384262
1000,600,1,gaussian,1.5,1.8669989318654328,48,SN13,1.8534066137876644
1000,600,1,gaussian,1.5,1.8669989318654328,48,OptShrink,1.8580026825874232
1000,600,1,gaussian,1.5,1.8669989318654328,49,Algorithm 3,1.846615790480805
1000,600,1,gaussian,1.5,1.8669989318654328,49,SN13,1.8331842093058217
1000,600,1,gaussian,1.5,1.8669989318654328,49,OptShrink,1.8371005496166581
1000,600,1,gaussian,1.5,1.8669989318654328,50,Algorithm 3,1.89048727398263
1000,600,1,gaussian,1.5,1.8669989318654328,50,SN13,1.8902172508213375
1000,600,1,gaussian,1.5,1.8669989318654328,50,OptShrink,1.893988352817708
1000,600,1,gaussian,1.5,1.8669989318654328,51,Algorithm 3,1.7567974356069125
1000,600,1,gaussian,1.5,1.8669989318654328,51,SN13,1.812881729763178
1000,600,1,gaussian,1.5,1.8669989318654328,51,OptShrink,1.8170720572491887
1000,600,1,gaussian,1.5,1.8669989318654328,52,Algorithm 3,1.895702860453817
1000,600,1,gaussian,1.5,1.8669989318654328,52,SN13,1.9278581308210425
1000,600,1,gaussian,1.5,1.8669989318654328,52,OptShrink,1.9320130545430882
1000,600,1,gaussian,1.5,1.8669989318654328,53,Algorithm 3,1.8746544736096502
1000,600,1,gaussian,1.5,1.8669989318654328,53,SN13,1.8881134034204554
1000,600,1,gaussian,1.5,1.8669989318654328,53,OptShrink,1.8922225648609547
1000,600,1,gaussian,1.5,1.8669989318654328,54,Algorithm 3,1.831951688079456
1000,600,1,gaussian,1.5,1.8669989318654328,54,SN13,1.828074174630815
1000,600,1,gaussian,1.5,1.8669989318654328,54,OptShrink,1.8319737085574634
1000,600,1,gaussian,1.5,1.8669989318654328,55,Algorithm 3,1.910382754877982
1000,600,1,gaussian,1.5,1.8669989318654328,55,SN13,1.9041402348515093
1000,600,1,gaussian,1.5,1.8669989318654328,55,OptShrink,1.9083841522537148
1000,600,1,gaussian,1.5,1.8669989318654328,56,Algorithm 3,1.8905382315799804
1000,600,1,gaussian,1.5,1.8669989318654328,56,SN13,1.8585315256244577
1000,600,1,gaussian,1.5,1.8669989318654328,56,OptShrink,1.8622824864584981
1000,600,1,gaussian,1.5,1.8669989318654328,57,Algorithm 3,1.906058681829375
1000,600,1,gaussian,1.5,1.8669989318654328,57,SN13,1.9185910736597307
1000,600,1,gaussian,1.5,1.8669989318654328,57,OptShrink,1.9226854076766555
1000,600,1,gaussian,1.5,1.8669989318654328,58,Algorithm 3,1.8079026053602243
1000,600,1,gaussian,1.5,1.8669989318654328,58,SN13,1.8218341381105216
1000,600,1,gaussian,1.5,1.8669989318654328,58,OptShrink,1.8261468590625447
1000,600,1,gaussian,1.5,1.8669989318654328,59,Algorithm 3,1.8420411058369348
